Network,Functionality
1001,
1011,
1021,
1031,
1041,
1051,
1091,
1101,
1102,
1111,
1112,
1121,
1131,
1132,
1141,
1142,
1181,
1191,F1A
1192,
1193,F1A
1194,F1A
1195,F1A
1196,
1201,
1202,
1211,
1221,F1A
1222,
1223,F1A
1224,F1A
1225,F1A
1226,
1231,
1232,
1271,
1281,
1291,
1301,
1311,
1321,
1361,
1371,
1372,
1381,
1382,
1391,
1401,
1402,
1411,
1412,
1451,
1461,
1462,
1471,
1472,
1481,
1491,
1492,
1501,
1502,
2001,
2011,
2021,
2061,
2071,
2081,
2091,
2101,
2102,
2111,
2112,
2151,
2161,
2162,
2171,
2172,
2181,
2191,F2A
2192,
2193,F2A
2194,F2A
2195,F2A
2196,
2201,
2202,
2241,
2251,F2A
2252,
2253,F2A
2254,F2A
2255,F2A
2256,
2261,
2262,
2271,
2281,
2291,
2331,
2341,
2351,
2361,
2371,
2372,
2381,
2382,
2421,
2431,
2432,
2441,
2442,
2451,
2461,
2462,
2471,
2472,
2511,
2521,
2522,
2531,
2532,
3001,
3011,
3021,
3061,
3071,
3081,
3091,
3101,
3102,
3103,F3A
3104,F3A
3105,F3A
3106,F3A
3111,
3112,
3151,
3161,
3162,
3163,F3A
3164,F3A
3165,F3A
3166,F3A
3171,
3172,
3181,
3191,
3192,
3201,
3202,
3241,
3251,
3252,
3261,
3262,
3271,
3281,
3291,
3331,
3341,
3351,
3361,
3371,
3372,
3381,
3382,
3421,
3431,
3432,
3441,
3442,
3451,
3461,
3462,
3471,F3B
3472,F3B
3473,
3474,
3475,F3B
3476,F3B
3511,
3521,
3522,
3531,F3B
3532,F3B
3533,
3534,
3535,F3B
3536,F3B
4001,
4011,
4021,
4031,
4041,
4051,
4091,
4101,
4102,
4103,F4A
4104,F4A
4105,F4A
4106,F4A
4111,
4112,
4121,
4131,
4132,
4133,F4A
4134,F4A
4135,F4A
4136,F4A
4141,
4142,
4181,
4191,
4192,
4201,
4202,
4211,
4221,
4222,
4231,
4232,
4271,
4281,
4291,
4301,
4311,
4321,
4361,
4371,
4372,
4381,
4382,
4391,
4401,
4402,
4411,
4412,
4451,
4461,
4462,
4471,F4B
4472,F4B
4473,
4474,
4475,F4B
4476,F4B
4481,
4491,
4492,
4501,F4B
4502,F4B
4503,
4504,
4505,F4B
4506,F4B
